season_year,netkeiba_id,mare_name,mare_birth_year,mare_sire_name,cover_date,expected_foaling_date,total_prize,best_win_class,offsprings_started,representative_offspring_name,representative_offspring_url,mare_netkeiba_url
2024,2018104922,アールドヴィーヴル,2018,キングカメハメハ,2024-03-12,2025-02-10,"8,197",22'立雲峡S(3勝クラス),0,,,https://own.netkeiba.com/db/horse.html?id=2018104922
2024,2016101779,アイリスフィール,2016,ハービンジャー,2024-04-16,2025-03-17,"2,009",19'デイジー賞(500万下),3,ドゥラエテルノ,https://own.netkeiba.com/db/horse.html?id=2022102722,https://own.netkeiba.com/db/horse.html?id=2016101779
2024,2020103608,アイリッシュパール,2020,Saxon Warrior,2024-05-28,2025-04-28,946,23'3歳未勝利,0,,,https://own.netkeiba.com/db/horse.html?id=2020103608
2024,2017106203,アカイイト,2017,キズナ,2024-06-14,2025-05-15,"23,002",21'エリザベス女王杯(G1),0,,,https://own.netkeiba.com/db/horse.html?id=2017106203
2024,2007103323,アガルタ,2007,キングカメハメハ,2024-05-23,2025-04-23,0,,10,マイネルオフィール,https://own.netkeiba.com/db/horse.html?id=2012104504,https://own.netkeiba.com/db/horse.html?id=2007103323
2024,2014105806,アズレージョ,2014,タートルボウル,2024-03-21,2025-02-19,"1,450",17'3歳以上500万下,2,ジェロニモス,https://own.netkeiba.com/db/horse.html?id=2021101280,https://own.netkeiba.com/db/horse.html?id=2014105806
2024,2013103600,アドマイヤヒナタ,2013,キングカメハメハ,2024-05-08,2025-04-08,104,C2三,5,ジオパークマグマ,https://own.netkeiba.com/db/horse.html?id=2018106317,https://own.netkeiba.com/db/horse.html?id=2013103600
2024,2012104128,アルティマブラッド,2012,シンボリクリスエス,2024-05-05,2025-04-05,"11,779",17'ラピスラズリS(OP),2,イーグルノワール,https://own.netkeiba.com/db/horse.html?id=2021107170,https://own.netkeiba.com/db/horse.html?id=2012104128
2024,2018106580,アルナージ,2018,ダノンレジェンド,2024-03-14,2025-02-12,"1,741",21'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2018106580
2024,2020103692,アルナージェイン,2020,リアルスティール,2024-03-24,2025-02-22,"2,250",23'3歳以上1勝クラス,0,,,https://own.netkeiba.com/db/horse.html?id=2020103692
2024,000a01d8b1,アルマダニヤー,2019,Awtaad,2024-02-25,2025-01-25,0,,1,ディーズメンフィス,https://own.netkeiba.com/db/horse.html?id=2023102812,https://own.netkeiba.com/db/horse.html?id=000a01d8b1
2024,2016104349,アンドラステ,2016,オルフェーヴル,2024-02-24,2025-01-24,"16,534",21'トヨタ賞中京記念(G3),1,アンドゥーリル,https://own.netkeiba.com/db/horse.html?id=2023103752,https://own.netkeiba.com/db/horse.html?id=2016104349
2024,2015105970,アンリミット,2015,メイショウボーラー,2024-03-26,2025-02-24,"7,778",20'渡月橋S(3勝クラス),1,アルピノ,https://own.netkeiba.com/db/horse.html?id=2022101721,https://own.netkeiba.com/db/horse.html?id=2015105970
2024,000a01a924,インデリブル,2016,Tiznow,2024-03-28,2025-02-26,0,,1,エッセンシャルワン,https://own.netkeiba.com/db/horse.html?id=2020110014,https://own.netkeiba.com/db/horse.html?id=000a01a924
2024,2017104671,ウィンドファクター,2017,キングカメハメハ,2024-06-01,2025-05-02,0,,1,ライヴバフィ,https://own.netkeiba.com/db/horse.html?id=2022102498,https://own.netkeiba.com/db/horse.html?id=2017104671
2024,2020105210,ウインエレナ,2020,ロードカナロア,2024-03-08,2025-02-06,22,,0,,,https://own.netkeiba.com/db/horse.html?id=2020105210
